"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","Mundo","002","África","202","África Subsahariana","","","Sudáfrica","710","ZAF","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Swazilandia","748","SWZ","","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Benin","204","BEN","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Burkina Faso","854","BFA","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Cabo Verde","132","CPV","","","x","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Côte d'Ivoire","384","CIV","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Gambia","270","GMB","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Ghana","288","GHA","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Guinea","324","GIN","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Guinea-Bissau","624","GNB","x","","x","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Liberia","430","LBR","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Malí","466","MLI","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Mauritania","478","MRT","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Níger","562","NER","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Nigeria","566","NGA","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Santa Elena","654","SHN","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Senegal","686","SEN","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Sierra Leona","694","SLE","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Togo","768","TGO","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Territorio Británico del Océano Índico","086","IOT","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Burundi","108","BDI","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Comoras","174","COM","x","","x","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Djibouti","262","DJI","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Eritrea","232","ERI","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Etiopía","231","ETH","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Territorio de las Tierras Australes Francesas","260","ATF","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Kenya","404","KEN","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Madagascar","450","MDG","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Malawi","454","MWI","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Mauricio","480","MUS","","","x","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Mayotte","175","MYT","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Mozambique","508","MOZ","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Reunión","638","REU","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Rwanda","646","RWA","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Seychelles","690","SYC","","","x","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Somalia","706","SOM","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Sudán del Sur","728","SSD","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Uganda","800","UGA","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","República Unida de Tanzanía","834","TZA","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Zambia","894","ZMB","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Zimbabwe","716","ZWE","","x","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Belice","084","BLZ","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Costa Rica","188","CRI","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","El Salvador","222","SLV","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Guatemala","320","GTM","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Honduras","340","HND","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","México","484","MEX","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Nicaragua","558","NIC","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Panamá","591","PAN","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Argentina","032","ARG","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Bolivia (Estado Plurinacional de)","068","BOL","","x","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Isla Bouvet","074","BVT","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Brasil","076","BRA","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Chile","152","CHL","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Colombia","170","COL","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Ecuador","218","ECU","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Islas Malvinas (Falkland)","238","FLK","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Guayana Francesa","254","GUF","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Guyana","328","GUY","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Paraguay","600","PRY","","x","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Perú","604","PER","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Georgia del Sur y las Islas Sandwich del Sur","239","SGS","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Suriname","740","SUR","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Uruguay","858","URY","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Venezuela (República Bolivariana de)","862","VEN","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Anguila","660","AIA","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Antigua y Barbuda","028","ATG","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Aruba","533","ABW","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Bahamas","044","BHS","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Barbados","052","BRB","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Bonaire, San Eustaquio y Saba","535","BES","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Islas Vírgenes Británicas","092","VGB","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Islas Caimán","136","CYM","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Cuba","192","CUB","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Curaçao","531","CUW","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Dominica","212","DMA","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","República Dominicana","214","DOM","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Granada","308","GRD","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Guadalupe","312","GLP","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Haití","332","HTI","x","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Jamaica","388","JAM","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Martinica","474","MTQ","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Montserrat","500","MSR","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Puerto Rico","630","PRI","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","San Bartolomé","652","BLM","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Saint Kitts y Nevis","659","KNA","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Santa Lucía","662","LCA","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","San Martín (parte francesa)","663","MAF","","","","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","San Vicente y las Granadinas","670","VCT","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","San Martín (parte holandés)","534","SXM","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Trinidad y Tabago","780","TTO","","","x","Developing"
"001","Mundo","019","Américas","419","América Latina y el Caribe","","","Islas Turcas y Caicos","796","TCA","","","","Developing"
