"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","العالم","142","آسيا","030","شرقي آسيا","","","اليابان","392","JPN","","","","Developed"
"001","العالم","142","آسيا","030","شرقي آسيا","","","جمهورية كوريا","410","KOR","","","","Developing"
"001","العالم","142","آسيا","030","شرقي آسيا","","","جمهورية كوريا الشعبية الديمقراطية","408","PRK","","","","Developing"
"001","العالم","142","آسيا","030","شرقي آسيا","","","منطقة ماكاو الإدارية الخاصة التابعة للصين","446","MAC","","","","Developing"
"001","العالم","142","آسيا","030","شرقي آسيا","","","منطقة هونغ كونغ الصينية الإدارية الخاصة","344","HKG","","","","Developing"
"001","العالم","142","آسيا","030","شرقي آسيا","","","منغوليا","496","MNG","","x","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","أذربيجان","031","AZE","","x","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","أرمينيا","051","ARM","","x","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","إسرائيل","376","ISR","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","الأردن","400","JOR","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","الإمارات العربية المتحدة","784","ARE","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","البحرين","048","BHR","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","الجمهورية العربية السورية","760","SYR","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","العراق","368","IRQ","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","الكويت","414","KWT","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","المملكة العربية السعودية","682","SAU","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","اليمن","887","YEM","x","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","تركيا","792","TUR","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","جورجيا","268","GEO","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","دولة فلسطين","275","PSE","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","عمان","512","OMN","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","قبرص","196","CYP","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","قطر","634","QAT","","","","Developing"
"001","العالم","142","آسيا","145","غربي آسيا","","","لبنان","422","LBN","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","الجزائر","012","DZA","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","السودان","729","SDN","x","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","الصحراء الغربية","732","ESH","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","المغرب","504","MAR","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","تونس","788","TUN","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","ليبيا","434","LBY","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","مصر","818","EGY","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","بوتسوانا","072","BWA","","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","ليسوتو","426","LSO","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","ناميبيا","516","NAM","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","جنوب أفريقيا","710","ZAF","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","سوازيلند","748","SWZ","","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","المحيط الهندي الإقليم البريطاني في","086","IOT","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","بوروندي","108","BDI","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","جزر القمر","174","COM","x","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","جيبوتي","262","DJI","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","إريتريا","232","ERI","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","إثيوبيا","231","ETH","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","الأراضي الفرنسية الجنوبية الجنوبية","260","ATF","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","كينيا","404","KEN","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","مدغشقر","450","MDG","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","ملاوي","454","MWI","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","موريشيوس","480","MUS","","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","جزيرة مايوت","175","MYT","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","موزامبيق","508","MOZ","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","ريونيون","638","REU","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","رواندا","646","RWA","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","سيشيل","690","SYC","","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","الصومال","706","SOM","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","جنوب السودان","728","SSD","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","أوغندا","800","UGA","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","جمهورية تنزانيا المتحدة","834","TZA","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","زامبيا","894","ZMB","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","زمبابوي","716","ZWE","","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","بنن","204","BEN","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","بوركينا فاسو","854","BFA","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","كابو فيردي","132","CPV","","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","كوت ديفوار","384","CIV","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","غامبيا","270","GMB","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","غانا","288","GHA","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","غينيا","324","GIN","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","غينيا - بيساو","624","GNB","x","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","ليبريا","430","LBR","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","مالي","466","MLI","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","موريتانيا","478","MRT","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","النيجر","562","NER","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","نيجيريا","566","NGA","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","سانت هيلانة","654","SHN","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","السنغال","686","SEN","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","سيراليون","694","SLE","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","توغو","768","TGO","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","أنغولا","024","AGO","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","الكاميرون","120","CMR","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","جمهورية أفريقيا الوسطى","140","CAF","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","تشاد","148","TCD","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","الكونغو","178","COG","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","جمهورية الكونغو الديمقراطية","180","COD","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","غينيا الاستوائية","226","GNQ","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","غابون","266","GAB","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","","","سان تومي وبرينسيبي","678","STP","x","","x","Developing"
"001","العالم","019","الأمريكتان","021","أمريكا الشمالية","","","الولايات المتحدة الأمريكية","840","USA","","","","Developed"
"001","العالم","019","الأمريكتان","021","أمريكا الشمالية","","","برمودا","060","BMU","","","","Developed"
"001","العالم","019","الأمريكتان","021","أمريكا الشمالية","","","سان بيار وميكلون","666","SPM","","","","Developed"
"001","العالم","019","الأمريكتان","021","أمريكا الشمالية","","","غرينلند","304","GRL","","","","Developed"
"001","العالم","019","الأمريكتان","021","أمريكا الشمالية","","","كندا","124","CAN","","","","Developed"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","","","الأرجنتين","032","ARG","","","","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","","","بوليفيا (دولة - المتعددة القوميات)","068","BOL","","x","","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","","","جزيرة بوفيت","074","BVT","","","","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","","","البرازيل","076","BRA","","","","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","","","شيلي","152","CHL","","","","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","","","كولومبيا","170","COL","","","","Developing"
